year,origin,destination,distance_km,avg_wind,avg_marine_traffic
2020,LOC01,LOC02,7.332475720556204,5.385346306690044,92.17540290464116
2020,LOC02,LOC03,7.535402039880351,4.4091828085092555,92.9776658937246
2020,LOC03,LOC04,6.9226156893069515,5.276941519354019,77.12482384991523
2020,LOC04,LOC05,7.912333400207966,4.240998749524751,76.54677853987951
2020,LOC05,LOC06,7.928811734873512,4.020677261322952,63.753681531212806
2020,LOC06,LOC07,7.919053063375215,5.0774007490253,61.732118147258404
2020,LOC07,LOC08,7.93042881084419,5.249465512547907,50.03485594040698
2020,LOC08,LOC09,7.957062627663417,5.336130934959952,42.7357867638841
2020,LOC09,LOC10,7.507315549854315,4.529335894729004,40.66724332762293
2021,LOC01,LOC02,7.332475720556204,5.400548812475899,99.82623735963244
2021,LOC02,LOC03,7.535402039880351,5.401151164920714,89.67521004180853
2021,LOC03,LOC04,6.9226156893069515,4.2514329356910245,80.71001136434327
2021,LOC04,LOC05,7.912333400207966,4.568460399156137,72.35165728258978
2021,LOC05,LOC06,7.928811734873512,5.956575203135405,66.07657826370543
2021,LOC06,LOC07,7.919053063375215,5.7640262806463545,61.1245524303041
2021,LOC07,LOC08,7.93042881084419,5.535165600626002,52.8185337768533
2021,LOC08,LOC09,7.957062627663417,5.065580261517598,45.28847282710474
2021,LOC09,LOC10,7.507315549854315,4.269022474006558,40.42685042905774
2022,LOC01,LOC02,7.332475720556204,4.6628277392631805,91.5771629190052
2022,LOC02,LOC03,7.535402039880351,5.376869972134363,85.7632308025243
2022,LOC03,LOC04,6.9226156893069515,5.945000568740667,86.5721391037748
2022,LOC04,LOC05,7.912333400207966,5.867784444233584,73.6133478513534
2022,LOC05,LOC06,7.928811734873512,4.041467326688249,71.42878664291507
2022,LOC06,LOC07,7.919053063375215,4.8363014669267566,64.47971436076817
2022,LOC07,LOC08,7.93042881084419,5.872782947721211,56.32225740047498
2022,LOC08,LOC09,7.957062627663417,4.500670276404052,44.21427317493535
2022,LOC09,LOC10,7.507315549854315,5.580809841444182,36.37154932800546
2023,LOC01,LOC02,7.332475720556204,4.440268507753654,96.90201587927417
2023,LOC02,LOC03,7.535402039880351,5.958234928641589,90.95242197520355
2023,LOC03,LOC04,6.9226156893069515,5.204205740213569,78.00461827145662
2023,LOC04,LOC05,7.912333400207966,5.2680701171910265,79.81229934984158
2023,LOC05,LOC06,7.928811734873512,4.290722124103562,67.32889754067519
2023,LOC06,LOC07,7.919053063375215,5.734679314148039,62.22085234787352
2023,LOC07,LOC08,7.93042881084419,5.339574475533242,54.817003685672475
2023,LOC08,LOC09,7.957062627663417,4.630754794704391,43.29921433156103
2023,LOC09,LOC10,7.507315549854315,5.497258809367496,41.30346322323449
2024,LOC01,LOC02,7.332475720556204,5.835427651541677,100.46640878025539
2024,LOC02,LOC03,7.535402039880351,5.1086101780419035,89.00728695532581
2024,LOC03,LOC04,6.9226156893069515,5.6606737579683895,83.53249264152659
2024,LOC04,LOC05,7.912333400207966,5.4419894183080935,77.86968754315996
2024,LOC05,LOC06,7.928811734873512,5.790564777265646,65.52555258555317
2024,LOC06,LOC07,7.919053063375215,4.731099075572016,55.75298556874016
2024,LOC07,LOC08,7.93042881084419,5.102103275535054,48.1515855837688
2024,LOC08,LOC09,7.957062627663417,4.8429685285298,45.789742235991866
2024,LOC09,LOC10,7.507315549854315,4.451619002667037,39.11066188213279
